"Date","Titre","Sous-titre","Salle"
"2016-12-17 20:00:00","Nicola Ciccone","Esprit libre","Salle Octave-Crémazie"
"2017-01-02 14:30:00","Hommage à Vienne - Concert du Nouvel An","","Salle Louis-Fréchette"
"2017-01-04 19:30:00","Shen Yun Performing Arts","","Salle Louis-Fréchette"
"2017-01-05 19:30:00","Shen Yun Performing Arts","","Salle Louis-Fréchette"
"2017-01-11 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2017-01-12 20:00:00","Les Grands ExplorateursEscales dans les Îles Grecques","","Salle Louis-Fréchette"
"2017-01-13 20:00:00","Les Grands ExplorateursEscales dans les Îles Grecques","","Salle Louis-Fréchette"
"2017-01-14 20:00:00","Les Grands ExplorateursEscales dans les Îles Grecques","","Salle Louis-Fréchette"
"2017-01-15 14:00:00","Les Grands ExplorateursEscales dans les Îles Grecques","","Salle Louis-Fréchette"
"2017-01-17 19:30:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-17 20:00:00","Batsheva Dance Company","Last Work","Salle Louis-Fréchette"
"2017-01-18 19:30:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-19 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-20 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-21 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-24 19:30:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-25 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2017-01-25 19:30:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-26 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-27 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-28 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-29 11:00:00","Croissants-Musique Wesli","","Foyer de la salle Louis-Fréchette"
"2017-01-29 15:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-01-31 19:30:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-02-01 19:30:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-02-02 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-02-03 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-02-04 16:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-02-05 14:00:00","Les Grands ExplorateursPédaler le Brésil","","Salle Louis-Fréchette"
"2017-02-06 20:00:00","Club musical de QuébecKremerata Baltica, orchestre de chambre et Gidon Kremer, violoniste et directeur artistique","Une autre Russie","Salle Louis-Fréchette"
"2017-02-08 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2017-02-08 19:30:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-02-09 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-02-10 20:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-02-11 16:00:00","Le TridentLe songe d'une nuit d'été","","Salle Octave-Crémazie"
"2017-02-16 20:00:00","Les Grands ExplorateursLa Perse au coeur de l'Iran","","Salle Louis-Fréchette"
"2017-02-17 20:00:00","Caroline Savoie","","Salle Octave-Crémazie"
"2017-02-17 20:00:00","Les Grands ExplorateursLa Perse au coeur de l'Iran","","Salle Louis-Fréchette"
"2017-02-18 20:00:00","Les Grands ExplorateursLa Perse au coeur de l'Iran","","Salle Louis-Fréchette"
"2017-02-19 14:00:00","Les Grands ExplorateursLa Perse au coeur de l'Iran","","Salle Louis-Fréchette"
"2017-02-22 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2017-02-22 20:00:00","Kevin Parent","Kanji","Salle Octave-Crémazie"
"2017-02-23 10:30:00","L'Orchestre symphonique de QuébecHéritage de la musique afro-américaine","","Salle Louis-Fréchette"
"2017-02-23 19:30:00","L'Orchestre symphonique de QuébecHéritage de la musique afro-américaine","","Salle Louis-Fréchette"
"2017-02-23 20:00:00","Daniel Lavoie","Mes longs voyages","Salle Octave-Crémazie"
"2017-02-26 11:00:00","Croissant-Musique Julie Lamontagne trio","Opus jazz","Foyer de la salle Louis-Fréchette"
"2017-03-04 20:00:00","Le Patin Libre","Vertical Influences",""
"2017-03-05 20:00:00","Le Patin Libre","Vertical Influences",""
"2017-03-07 19:30:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-08 19:30:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-08 20:00:00","Piaf a 100 ans. Vive la Môme!","","Salle Louis-Fréchette"
"2017-03-09 20:00:00","Les Grands ExplorateursRussie éternelle, de Moscou à Saint-Pétersbourg","","Salle Louis-Fréchette"
"2017-03-09 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-10 20:00:00","Les Grands ExplorateursRussie éternelle, de Moscou à Saint-Pétersbourg","","Salle Louis-Fréchette"
"2017-03-10 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-11 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-11 20:00:00","Les Grands ExplorateursRussie éternelle, de Moscou à Saint-Pétersbourg","","Salle Louis-Fréchette"
"2017-03-12 14:00:00","Les Grands ExplorateursRussie éternelle, de Moscou à Saint-Pétersbourg","","Salle Louis-Fréchette"
"2017-03-14 19:30:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-15 19:30:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-15 20:00:00","L'Orchestre symphonique de QuébecVariations scandinaves","","Salle Louis-Fréchette"
"2017-03-16 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-17 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-18 20:00:00","Le TridentConstellations","","Salle Octave-Crémazie"
"2017-03-19 15:00:00","L'Orchestre symphonique de QuébecLOrchestrarium de monsieur Albert : un concert dont vous êtes le héros","","Salle Louis-Fréchette"
"2017-03-21 19:30:00","Le TridentConstellations","","Salle Octave-Crémazie"
